order,source,family,family.obs,full.name1,tdwg.name
31,huh,Adoxaceae,NA,Lars Torsten Eriksson,"Eriksson, L.T."
32,huh,Alismataceae,NA,Antonio Lot H.,"Antonio, L.H."
33,huh,Asteraceae,NA,Brian Reid Keener,"Keener, B.R."
34,huh,Alismataceae,NA,Ingemar Bjorkqvist,"Bjorkqvist, I."
35,huh,Malvaceae,NA,Robyn Mary Barker,"Barker, R.M."
36,huh,Alismataceae,NA,Jia-kuan Chen,"Chen, J."
37,huh,Amaranthaceae,NA,Bao-Min Yang,"Yang, B."
38,huh,Amaranthaceae,NA,Bao-Min Yang,"Yang, B.M."
39,huh,Amaranthaceae,NA,Maria Julia Bena,"Bena, M.J."
40,huh,Amaranthaceae,NA,Gerhard Benl,"Benl, G."
41,huh,Amaranthaceae,NA,José Luis Carretero,"Carretero, J.L."
42,huh,Juncaceae,NA,Steven Earl Clemants,"Clemants, S.E."
43,huh,Poaceae,NA,Guillermo Covas,"Covas, G."
44,huh,Amaranthaceae,NA,Uno H. Eliasson,"Eliasson, U.H."
45,huh,Amaranthaceae,NA,Ivan Galabov Kovatschev,"Kovatschev, I.G."
46,huh,Amaranthaceae,NA,Ivan Galabov Kovatschev,"Kovachev, I.G."
47,huh,Amaranthaceae,NA,Ivonne Sanchez-del Pino,"Pino, I.S."
48,huh,Amaranthaceae,NA,Josafá Carlos de Siqueira,"Siqueira, J.C."
49,huh,Amaranthaceae,NA,Josafá Carlos de Siqueira,"Sigueira, J.C."
50,huh,Amaranthaceae,NA,Jonathan Deininger Sauer,"Sauer, J.D."
51,huh,Amaranthaceae,NA,Ross Anthony McCauley,"Mccauley, R.A."
52,huh,Amaranthaceae,NA,Troels Myndel Pedersen,"Pedersen, T.M."
53,huh,Amaryllidaceae,NA,John Leonard Doran,"Doran, J.L."
54,huh,Amaryllidaceae,NA,John Leonard Doran,"Doran, L.J."
55,huh,Amaryllidaceae,NA,Abilio Fernandes,"Fernandes, A."
56,huh,Amaryllidaceae,NA,Alan W. Meerow,"Meerow, A.W."
57,huh,Solanaceae,NA,Armando Theodoro Hunziker,"Hunziker, A.T."
58,huh,Amaryllidaceae,NA,Z. T. Artjushenko,"Artjushenko, Z.T."
59,huh,Liliaceae,NA,Peter Edward Brandham,"Brandham, P.E."
60,huh,Amaryllidaceae,NA,Karen Husum Clary,"Clary, K.H."
61,huh,Amaryllidaceae,NA,Karen Husum Clary,Clary
62,huh,Amaryllidaceae,NA,Deirdré Anne Snijman,"Snijman, D.A."
63,huh,Amaryllidaceae,NA,David J. Lehmiller,"Lehmiller, D.J."
64,huh,Amaryllidaceae,NA,F. W. Meyer,"Meyer, F.W."
65,huh,Amaryllidaceae,NA,F. W. Meyer,"Meyer, F."
66,huh,Amaryllidaceae,NA,Walter S. Flory,"Flory, W.S."
67,huh,Urticaceae,NA,Ib Friis,"Friis, I."
68,huh,Amaryllidaceae,NA,Gerald Lomax Smith,"Smith, G.L."
69,huh,Amaryllidaceae,NA,Hamilton Paul Traub,"Traub, H.P."
70,huh,Amaryllidaceae,NA,Thaddeus Monroe Howard,"Howard, T.M."
71,huh,Amaryllidaceae,NA,Scott Ogden,"Ogden, S."
72,huh,Amaryllidaceae,NA,Pieter Johannes Vorster,"Vorster, P.J."
73,huh,Anacardiaceae,NA,Anders Sanchez Barfod,"Barfod, A.S."
74,huh,Anacardiaceae,NA,David A. Young,"Young, D.A."
75,huh,Anacardiaceae,NA,Ding Hou,"Hou, D."
76,huh,Anacardiaceae,NA,John Daniel Mitchell,"Mitchell, J.D."
77,huh,Anacardiaceae,NA,John Ongayo Kokwaro,"Kokwaro, J.O."
78,huh,Anacardiaceae,NA,Tien Lu Ming,"Ming, T.L."
79,huh,Anacardiaceae,NA,Teresa Terrazas,"Terrazas, T."
80,huh,Anacardiaceae,NA,Teresa Terrazas,"Salgado, T.T."
81,huh,Annonaceae,NA,A. Timmerman,"Timmerman, A."
82,huh,Annonaceae,NA,A. V. Thomas,"Thomas, A.V."
83,huh,Annonaceae,NA,Kenneth Joseph Bagstad,"Bagstad, K.J."
84,huh,Annonaceae,NA,Nguyen Tien Ban,"Ban, N.T."
85,huh,Annonaceae,NA,T. Chaowasku,"Chaowasku, T."
86,huh,Annonaceae,NA,Thomas Louis Peter Couvreur,"Couvreur, T.L.P."
87,huh,Marsileaceae,NA,David Mark Johnson,"Johnson, D.M."
88,huh,Annonaceae,NA,Debabrata Mitra,"Mitra, D."
89,huh,Annonaceae,Guatteria,Dario Sanchez,"Sanchez, D."
90,huh,Annonaceae,Guatteria,Dario Sanchez,"Dario, S.S."
91,huh,Annonaceae,NA,David Kenfack,"Kenfack, D."
92,huh,Annonaceae,NA,E. C. H. van Heusden,"Heusden, E.C.H.V."
93,huh,Annonaceae,NA,E. C. H. van Heusden,"Heusden, E.C.H."
94,huh,Acanthaceae,NA,Cecilia Ezcurra,"Ezcurra, C."
95,huh,Rubiaceae,NA,Friedrich Ehrendorfer,"Ehrendorfer, F."
96,huh,Annonaceae,NA,H. Rainer,"Rainer, H."
97,huh,Annonaceae,NA,Ping He,"Ping, H."
98,huh,Annonaceae,NA,Xue-Liang Hou,"Hou, X."
99,huh,Annonaceae,NA,Johan B. Mols,"Mols, J.B."
100,huh,Annonaceae,NA,J. M. S. Miralha,"Miralha, J.M.S."
101,huh,Annonaceae,NA,Lawrence W. Jessup,"Jessup, L.W."
102,huh,Annonaceae,NA,Kamarudin Bin Mat-Salleh,"Mat-Salleh, K.B."
103,huh,Annonaceae,NA,Kamarudin Bin Mat-Salleh,"Mat-Salleh, K.B."
104,huh,Acanthaceae,NA,Chang-Fu Hsieh,"Hsieh, C."
105,huh,Acanthaceae,NA,Chang-Fu Hsieh,"Hsieh, C.F."
106,huh,Annonaceae,NA,Patricia J. A. Kessler,"Kessler, P.J.A."
107,huh,Annonaceae,NA,Lubbert Ybele Theodoor Westra,"Westra, L.Y.T."
108,huh,Annonaceae,NA,M. B. Viswanathan,"Viswanathan, M.B."
109,huh,Annonaceae,NA,Paulus Johannes Maria Maas,"Maas, P.J.M."
110,huh,Annonaceae,NA,U. Manikandan,"Manikandan, U."
111,huh,Bignoniaceae,NA,Wilfried Morawetz,"Morawetz, W."
112,huh,Annonaceae,NA,Nancy A. Murray,"Murray, N.A."
113,huh,Annonaceae,NA,Tien Ban Nguyen,"Nguyen, T.B."
114,huh,Annonaceae,NA,Tien Ban Nguyen,"Ban, N.T."
115,huh,Annonaceae,NA,Renato Aquino Zachia,"Zachia, R.A."
116,huh,Annonaceae,NA,Steven H. Rogstad,"Rogstad, S.H."
117,huh,Apocynaceae,NA,Ying Tsiang,"Tsiang, Y."
118,huh,Apocynaceae,NA,Ying Tsiang,"Tsiang, T."
119,huh,Annonaceae,NA,Taco van Welzenis,"Welzenis, T.V."
120,huh,Asclepiadaceae,NA,Alessandro Rapini,"Rapini, A."
121,huh,Apocynaceae,NA,Lucile Allorge,"Allorge, L."
122,huh,Apocynaceae,NA,Johan Coenraad Arends,"Arends, J.C."
123,huh,Apocynaceae,NA,Bruce Frederick Hansen,"Hansen, B.F."
124,huh,Dioscoreaceae,NA,Cecilia Carmen Xifreda,"Xifreda, C.C."
125,huh,Apocynaceae,NA,David John Middleton,"Middleton, D.J."
126,huh,Apocynaceae,NA,David John Middleton,"Middleton, D."
127,huh,Asclepiadaceae,NA,Warren Douglas Stevens,"Stevens, W.D."
128,huh,Asclepiadaceae,NA,Warren Douglas Stevens,"Stevens, D."
129,huh,Lauraceae,NA,Hung-Pin Tsui,"Tsui, H."
130,huh,Lauraceae,NA,Hung-Pin Tsui,"Hongbin, C."
131,huh,Apocynaceae,NA,Mary E. Fallen,"Fallen, M.E."
132,huh,Apocynaceae,NA,Ulysses Flores Ferreras,"Ferreras, U.F."
133,huh,Apocynaceae,NA,George Mendoza,"Mendoza, G."
134,huh,Caricaceae,NA,Jose Aquileo Lomeli Sencion,"Sencion, J.A.L."
135,huh,Apocynaceae,NA,J. Francisco Morales,"Morales, J.F."
136,huh,Apocynaceae,NA,Justin Kirk Williams,"Williams, J.K."
137,huh,Apocynaceae,NA,James Lee Zarucchi,"Zarucchi, J.L."
138,huh,Apocynaceae,NA,K. Kishore Kumar,"Kumar, K.K."
139,huh,Apocynaceae,NA,Kade Sidiyasa,"Sidiyasa, K."
140,huh,Begoniaceae,NA,Dieter Carl Wasshausen,"Wasshausen, D.C."
141,huh,Acanthaceae,NA,Dieter Carl Wasshausen,"Wasshausen, D.C."
142,huh,Apocynaceae,NA,Tatyana Livshultz,"Livshultz, T."
143,huh,Apocynaceae,NA,Tran Dinh Ly,"Tran, D.L."
144,huh,Apocynaceae,NA,Michele Rodda,"Rodda, M."
145,huh,Apocynaceae,NA,Monina V. Siar,"Siar, M.V."
146,huh,Apocynaceae,NA,Washington Marcondes-Ferreira,"Marcondes-Ferreira, W."
147,huh,Apocynaceae,NA,Washington Marcondes-Ferreira,"Ferreira Neto, W.M."
148,huh,Apocynaceae,NA,Marcel-Marie Plumel,"Plumel, M."
149,huh,Apocynaceae,NA,Nadhanielle Simonsson,"Simonsson, N."
150,huh,Apocynaceae,NA,Siwert Nilsson,"Nilsson, S."
151,huh,Apocynaceae,NA,Ralf Omlor,"Omlor, R."
152,huh,Apocynaceae,NA,Robert Everard Woodson,"Woodson, R.E."
153,huh,Apocynaceae,NA,Robert Everard Woodson,"Woodson Junior, R.E."
154,huh,Aquifoliaceae,NA,A. S. Sherif,"Sherif, A.S."
155,huh,Aquifoliaceae,NA,Susyn M. Andrews,"Andrews, S.M."
156,huh,Araliaceae,NA,Chang Jiang Tseng,"Tseng, C.J."
157,huh,Aquifoliaceae,NA,Shukun Chen,"Chen, S."
158,huh,Aquifoliaceae,NA,Ross Carlton Clark,"Clark, R.C."
159,huh,Aquifoliaceae,NA,Günther Natho,"Natho, G."
160,huh,Aquifoliaceae,NA,Gustavo Carlos Giberti,"Giberti, G.C."
161,huh,Aquifoliaceae,NA,Pedro Alejandro Gonzalez Gutierrez,"Gutierrez, P.A.G."
162,huh,Rutaceae,NA,Milton Groppo Junior,"Groppo, M."
163,huh,Rutaceae,NA,Milton Groppo Junior,"Groppo Junior, M."
164,huh,Aquifoliaceae,NA,Shiu Ying Hu,"Shiu, Y.H."
165,huh,Aquifoliaceae,NA,[Ludwig Eduard] Theodor Loesener,"Loesener, E.T."
166,huh,Aquifoliaceae,NA,[Ludwig Eduard] Theodor Loesener,"Loesener, L.E.T."
167,huh,Aquifoliaceae,NA,Pierre-Andre Loizeau,"Loizeau, P."
168,huh,Araceae,NA,Alistair Hay,"Hay, A."
169,huh,Dichapetalaceae,NA,Anthonius Josephus Maria Leeuwenberg,"Leeuwenberg, A.J.M."
170,huh,Characeae,green algae,Adolf Ernst,"Ernst, A."
171,huh,Araceae,NA,C. M. Allen,"Allen, C.M."
172,huh,Araceae,NA,Kerim Alpinar,"Alpinar, K."
173,huh,Araceae,NA,Ileana Arias,"Arias, I."
174,huh,Acanthaceae,NA,Erin Anne Tripp,"Tripp, E.A."
175,huh,Acanthaceae,NA,Erin Anne Tripp,"Tripp, E."
176,huh,Araceae,NA,Jan D. Bastmeijer,"Bastmeijer, J.D."
177,huh,Araceae,NA,Fuhua Bian,"Bian, F."
178,huh,Araceae,NA,Josef Bogner,"Bogner, J."
179,huh,Araceae,NA,Peter Charles Boyce,"Boyce, P.C."
180,huh,Araceae,NA,Brad Oberle,"Oberle, B."
181,huh,Dichapetalaceae,NA,Franciscus Jozef Breteler,"Breteler, F.J."
182,huh,Dichapetalaceae,NA,Franciscus Jozef Breteler,"Breteler, F."
183,huh,Araceae,NA,Chun-Lin Long,"Long, C."
184,huh,Araceae,NA,Cassia Monica Sakuragui,"Sakuragui, C.M."
185,huh,Araceae,NA,Xavier Cornejo,"Cornejo, X."
186,huh,Characeae,green algae,Hannah Thompson Croasdale,"Croasdale, H.T."
187,huh,Araceae,NA,Thomas Bernard Croat,"Croat, T.B."
188,huh,Araceae,NA,Dan Henry Nicolson,"Nicolson, D.H."
189,huh,Connaraceae,NA,Enrique Forero,"Forero, E."
190,huh,Araceae,NA,Eduardo G. Gonçalves,"Goncalves, E.G."
191,huh,Araceae,NA,Heinrich Gustav Adolf Engler,"Engler, H.G.A."
192,huh,Araceae,NA,Guanghua Zhu,"Zhu, G."
193,huh,Araceae,NA,Michael Howard Grayum,"Grayum, M.H."
194,huh,Araceae,NA,John Grimshaw,"Grimshaw, J."
195,huh,Araceae,NA,Hen(g) Li,"Hen(g), L."
196,huh,Araceae,NA,Heinrich Schott,"Schott, H."
197,huh,Boraginaceae,NA,Harald (Harold) Udo von Riedl,"Riedl, H.U."
198,huh,Boraginaceae,NA,Harald (Harold) Udo von Riedl,"Riedl, H."
199,huh,Araceae,NA,Lynn P. Hannon,"Hannon, L.P."
200,huh,Araceae,NA,Wilbert L. A. Hetterscheid,"Hetterscheid, W.L.A."
201,huh,Araceae,NA,J. G. Thiyagaraj,"Thiyagaraj, J.G."
202,huh,Araceae,NA,Jin Murata,"Murata, J."
203,huh,Araceae,NA,Jian-Tao Yin,"Yin, J."
204,huh,Cyperaceae,NA,Nguyen Khac Khoi,"Khoi, N.K."
205,huh,Araceae,NA,M. Knecht,"Knecht, M."
206,huh,Burseraceae,NA,Pieter Willem Leenhouts,"Leenhouts, P.W."
207,huh,Burseraceae,NA,Pieter Willem Leenhouts,"Leenhouts, P."
208,huh,Poaceae,NA,J. Munday,"Munday, J."
209,huh,Araceae,NA,Xiao-long Liu,"Liu, X."
210,huh,Araceae,NA,Marcus A. Nadruz Coelho,"Coelho, M.A.N."
211,huh,Araceae,NA,Marcus A. Nadruz Coelho,"Nadruz, M.A."
212,huh,Araceae,NA,Miguel Angel Pérez-Farrera,"Perez-Farrera, M.A."
213,huh,Araceae,NA,Maria de Lourdes da Costa Soares,"Soares, M.L.C."
214,huh,Araceae,NA,Maria de Lourdes da Costa Soares,"Soares, M.L."
215,huh,Araceae,NA,Martha Marcela Mora,"Mora, M.M."
216,huh,Araceae,NA,Mayandy Sivadasan,"Sivadasan, M."
217,huh,Araceae,NA,Mary Sizemore,"Sizemore, M."
218,huh,Araceae,NA,Simon Joseph Mayo,"Mayo, S.J."
219,huh,Characeae,green algae,Samuel Barnum Mead,"Mead, S.B."
220,huh,Characeae,green algae,Richard Dawson Wood,"Wood, R.D."
221,huh,Araceae,NA,Tom Ray,"Ray, T."
222,huh,Araceae,NA,Richard D. Sheffer,"Sheffer, R.D."
223,huh,Araceae,NA,Shrirang Ramachandra Yadav,"Yadav, S.R."
224,huh,Araceae,NA,Shunsuke Serizawa,"Serizawa, S."
225,huh,Poaceae,NA,Yan Cheng Tang,"Tang, Y.C."
226,huh,Araceae,NA,Zhong-Lang Wang,"Wang, Z."
227,huh,Araceae,NA,Zhong-Lang Wang,"Zhanglang, W."
228,huh,Araliaceae,NA,Ana Rosa Lopez-Ferrari,"Lopez-Ferrari, A.R."
229,huh,Araliaceae,NA,Byung-Yun Sun,"Sun, B."
230,huh,Araliaceae,NA,Rabindra Nath Banerjee,"Banerjee, R.N."
231,huh,Araliaceae,NA,Chih-Bei Shang,"Shang, C."
232,huh,Araliaceae,NA,Chih-Bei Shang,"Shang, C.B."
233,huh,Araliaceae,NA,Chul Hwan Kim,"Kim, C.H."
234,huh,Turneraceae,NA,Carlos Alberto Ferr Ira de Moura,"Moura, C.A.F.I."
235,huh,Araliaceae,NA,David Gamman Frodin,"Frodin, D.G."
236,huh,Ericaceae,NA,Kuo-mei Feng,"Feng, K."
237,huh,Ericaceae,NA,Kuo-mei Feng,"Feng, G."
238,huh,Araliaceae,NA,Pedro Fiaschi,"Fiaschi, P."
239,huh,Araliaceae,NA,Hiroyoshi Ohashi,"Ohashi, H."
240,huh,Araliaceae,NA,Jun Wen,"Wen, J."
241,huh,Araliaceae,NA,Ya-ru Li,"Ya-Ru, L."
242,huh,Araliaceae,NA,Yong-shan & Chen Lian,"Lian, Y.C."
243,huh,Araliaceae,NA,Porter Prescott Lowry,"Lowry, P.P."
244,huh,Araliaceae,NA,Porter Prescott Lowry,"Lowry, P."
245,huh,Apiaceae,NA,Mark A. Schlessman,"Schlessman, M.A."
246,huh,Araliaceae,NA,William Raymond Philipson,"Philipson, W.R."
247,huh,Apiaceae,NA,V. M. Vinogradova,"Vinogradova, V.M."
248,huh,Araucariaceae,NA,Neville Henry Simco Howcroft,"Howcroft, N.H.S."
249,huh,Rubiaceae,NA,Attila Borhidi,"Borhidi, A."
250,huh,Arecaceae,NA,Alfredo Cascante,"Cascante, A."
251,huh,Arecaceae,NA,Andrew James Henderson,"Henderson, A.J."
252,huh,Arecaceae,NA,Andrew James Henderson,"Henderson, A."
253,huh,Arecaceae,NA,Amaro Macedo,"Macedo, A."
254,huh,Arecaceae,NA,S. K. Basu,"Basu, S.K."
255,huh,Arecaceae,NA,Rodrigo Bernal-Gonzalez,"Bernal-Gonzalez, R."
256,huh,Arecaceae,NA,Rodrigo Bernal-Gonzalez,"Bernal G., R."
257,huh,Arecaceae,Aiphanes,Finn Borchsenius,"Borchsenius, F."
258,huh,Arecaceae,NA,Charlie D. Heatubun,"Heatubun, C.D."
259,huh,Arecaceae,NA,Chao-fen Wei,"Wei, C."
260,huh,Arecaceae,NA,C. Renuka,"Renuka, C."
261,huh,Arecaceae,NA,Dylan Fuller,"Fuller, D."
262,huh,Arecaceae,NA,Donald R. Hodel,"Hodel, D.R."
263,huh,Arecaceae,NA,Jean-Jacques de Granville,"Granville, J."
264,huh,Arecaceae,NA,John Leslie Dowe,"Dowe, J.L."
265,huh,Arecaceae,NA,John Dransfield,"Dransfield, J."
266,huh,Arecaceae,NA,Edwino S. Fernando,"Fernando, E.S."
267,huh,Arecaceae,NA,Frederick Burt Essig,"Essig, F.B."
268,huh,Arecaceae,NA,Randall J. Evans,"Evans, R.J."
269,huh,Arecaceae,Astrocaryum,Francis Kahn,"Kahn, F."
270,huh,Arecaceae,NA,Flemming Skov,"Skov, F."
271,huh,Arecaceae,NA,Fred Walter Stauffer,"Stauffer, F.W."
272,huh,Arecaceae,NA,Michael D. Ferrero,"Ferrero, M.D."
273,huh,Arecaceae,NA,Gregori G. Hambali,"Hambali, G.G."
274,huh,Arecaceae,NA,Sidney Frederick Glassman,"Glassman, S.F."
275,huh,Arecaceae,NA,Hermilo J. Quero,"Quero, H.J."
276,huh,Arecaceae,NA,William James Hahn,"Hahn, W.J."
277,huh,Arecaceae,NA,J. P. Mogea,"Mogea, J.P."
278,huh,Arecaceae,NA,Jack Wanggai,"Wanggai, J."
279,huh,Arecaceae,NA,K. Mejia,"Mejia, K."
280,huh,Arecaceae,NA,Larry Ronald Noblick,"Noblick, L.R."
281,huh,Arecaceae,NA,Rudi A. Maturbongs,"Maturbongs, R.A."
282,huh,Arecaceae,NA,Natalie Whitford Uhl,"Uhl, N.W."
283,huh,Arecaceae,NA,Sheng-Ji (Seng-Ji) Pei,"Pei, S."
284,huh,Arecaceae,NA,Rafael A. Risco Villalobos,"Villalobos, R.A.R."
285,huh,Arecaceae,NA,Robert William Read,"Read, R.W."
286,huh,Actinidiaceae,NA,Chou-Fen(g) Liang,"Liang, C."
287,huh,Arecaceae,Roystonea,Scott Zona,"Zona, S."
288,huh,Arecaceae,Roystonea,Scott Zona,"Zona, S.A."
289,huh,Asparagaceae,NA,Shamrao Yashwant Kamble,"Kamble, S.Y."
290,huh,Aloaceae,NA,Demissew Sebsebe,"Sebsebe, D."
291,huh,Asteraceae,NA,Arne A. Anderberg,"Anderberg, A.A."
292,huh,Asteraceae,NA,Alcides Aroldo Saenz,"Saenz, A.A."
293,huh,Asteraceae,NA,Andrew David Quentin Agnew,"Agnew, A.D.Q."
294,huh,Asteraceae,NA,Andrew David Quentin Agnew,"Agnew, A."
295,huh,Asteraceae,NA,Adriana Bartoli,"Bartoli, A."
296,huh,Asteraceae,NA,Alejandra Correa,"Correa, A."
297,huh,Asteraceae,NA,Almut Gitter Jones,"Jones, A.G."
298,huh,Asteraceae,NA,Abdul Ghafoor,"Ghafoor, A."
299,huh,Actinidiaceae,NA,Djaja Djendoel Soejarto,"Soejarto, D.D."
300,huh,Asteraceae,NA,A. H. Winward,"Winward, A.H."
301,huh,Asteraceae,NA,Arthur John Cronquist,"Cronquist, A.J."
302,huh,Asteraceae,NA,Adrian John Richards,"Richards, A.J."
303,huh,Asteraceae,NA,Angel Lulio Cabrera,"Cabrera, A.L."
304,huh,Asteraceae,NA,Alvin L. Young,"Young, A.L."
305,huh,Asteraceae,NA,Albert Michael Powell,"Powell, A.M."
306,huh,Asteraceae,NA,Alison M. R. Davies,"Davies, A.M.R."
307,huh,Asteraceae,NA,Andrew M. Torres,"Torres, A.M."
308,huh,Asteraceae,NA,Anders Nordin,"Nordin, A."
309,huh,Apiaceae,NA,Anthony R. Magee,"Magee, A.R."
310,huh,Asteraceae,NA,Annette Wiklund,"Wiklund, A."
311,huh,Asteraceae,NA,Adriana Mariel Echartes,"Echartes, A.M."
312,huh,Asteraceae,NA,Geraldine A. Allen,"Allen, G.A."
313,huh,Brassicaceae,NA,Cheng-Hsi An,"Cheng-Hsi, A."
314,huh,Asteraceae,NA,Loran Crittenden Anderson,"Anderson, L.C."
315,huh,Asteraceae,NA,Andrew John Charles Grierson,"Grierson, A.J.C."
316,huh,Asteraceae,NA,Andrew Spencer Tomb,"Tomb, A.S."
317,huh,Asteraceae,NA,Luis Ariza Espinar,"Espinar, L.A."
318,huh,Asteraceae,NA,Jorge E. Arriagada Mathieu,"Mathieu, J.E.A."
319,huh,Solanaceae,NA,John Earl Averett,"Averett, J.E."
320,huh,Asteraceae,"Madiinae, Chaenactis, Eriophyllum, Monolopia & Hulsea",Bruce Gregg Baldwin,"Baldwin, B.G."
321,huh,Asteraceae,NA,Berta Herrera,"Herrera, B."
322,huh,Asteraceae,NA,Berta Herrera,"Loja, B.H.A."
323,huh,Asteraceae,NA,Bonnie Lynne Clark,"Clark, B.L."
324,huh,Asteraceae,NA,Benjamin Lincoln Robinson,"Robinson, B.L."
325,huh,Asteraceae,NA,Billie Lee Turner,"Turner, B.L."
326,huh,Asteraceae,NA,Rune Bertil Nordenstam,"Nordenstam, R.B."
327,huh,Asteraceae,NA,Boris Smalla,"Smalla, B."
328,huh,Betulaceae,NA,Boris V. Zaverucha,"Zaverucha, B.V."
329,huh,Asteraceae,Packera,John F. Bain,"Bain, J.F."
330,huh,Asteraceae,NA,Gary Innes Baird,"Baird, G.I."
331,huh,Verbenaceae,Verbena,Susan C. Barber,"Barber, S.C."
332,huh,Liliaceae,NA,V. Yu (Ju) Barkalov,"Barkalov, V.Y."
333,huh,Asteraceae,NA,Graziela Maciel Barroso,"Barroso, G.M."
334,huh,Asteraceae,NA,Robert John Bates,"Bates, R.J."
335,huh,Asteraceae,Gnaphalieae,Randall J. Bayer,"Bayer, R.J."
336,huh,Asteraceae,NA,Robert Orange Belcher,"Belcher, R.O."
337,huh,Asteraceae,NA,Christa Beurton,"Beurton, C."
338,huh,Crassulaceae,NA,Upendra Chandra Bhattacharyya,"Bhattacharyya, U.C."
339,huh,Asteraceae,NA,Margaret R. Bolick,"Bolick, M.R."
340,huh,Asteraceae,NA,Pierre Bosserdet,"Bosserdet, P."
341,huh,Asteraceae,NA,Siegfried Bräutigam,"Brautigam, S."
342,huh,Asteraceae,NA,Kare (Kaare) Bremer,"Bremer, K."
343,huh,Asteraceae,NA,Luc Brouillet,"Brouillet, L."
344,huh,Asteraceae,NA,Gregory K. Brown,"Brown, G.K."
345,huh,Asteraceae,NA,Marta Lucia Bueno,"Bueno, M.L."
346,huh,Asteraceae,NA,Edward Sandford Burgess,"Burgess, E.S."
347,huh,Asteraceae,NA,Chao-chien Chang,"Chang, C."
348,huh,Caryophyllaceae,NA,Chendanda Chengappa Chinnappa,"Chinnappa, C.C."
349,huh,Asteraceae,NA,James Curtis Clark,"Clark, J.C."
350,huh,Asteraceae,NA,James Curtis Clark,"Clark, C."
351,huh,Alismataceae,NA,Franz Georg Philipp Buchenau,"Buchenau, F.G.P."
352,huh,Asteraceae,NA,Charles Edward Jarvis,"Jarvis, C.E."
353,huh,Asteraceae,NA,Carl Eric Sonck,"Sonck, C.E."
354,huh,Asteraceae,NA,Carmen F. Fernandez,"Fernandez, C.F."
355,huh,Asteraceae,NA,Christian Friedrich Lessing,"Lessing, C.F."
356,huh,Asteraceae,NA,Carl (Karl) Heinrich `Bipontinus' Schultz,"Schultz, C.H.B."
357,huh,Asteraceae,NA,Carl (Karl) Heinrich `Bipontinus' Schultz,"Schultz, C.H."
358,huh,Asteraceae,NA,Ching I Peng,"Peng, C.I."
359,huh,Asteraceae,NA,Christopher John Humphries,"Humphries, C.J."
360,huh,Apiaceae,NA,Colin James Webb,"Webb, C.J."
361,huh,Asteraceae,NA,Chi-ming Hu,"Chi-Ming, H."
362,huh,Asteraceae,NA,Cornelius Osten,"Osten, C."
363,huh,Asteraceae,NA,Curt (Kurt) Sprengel,"Sprengel, C."
364,huh,Asteraceae,NA,Curt (Kurt) Sprengel,"Sprengel, C.P.J."
365,huh,Asteraceae,NA,C. Prabhakar Raju,"Raju, C.P."
366,huh,Asteraceae,NA,Carol R. Sweeney,"Sweeney, C.R."
367,huh,Asteraceae,NA,Chu Shih,"Shih, C."
368,huh,Asteraceae,NA,Cristina Velez-Nauer,"Velez-Nauer, C."
