order,standard_name,gbif,splink,splink2gbif,jabot,jabot_old,example,plantR_status
39,educationLevel,educationLevel,NA,NA,NA,NA,NA,input_unnecessary
40,elevation,elevation,NA,NA,NA,altitude,800,input_optional
41,elevationAccuracy,elevationAccuracy,NA,NA,NA,NA,NA,input_unnecessary
42,endDayOfYear,endDayOfYear,NA,NA,NA,NA,NA,input_unnecessary
43,establishmentMeans,establishmentMeans,NA,NA,NA,NA,NA,input_unnecessary
44,eventDate,eventDate,NA,eventTime,eventDate,NA,2013-04-30T00:00:00Z,input_optional
45,eventID,eventID,NA,NA,NA,NA,NA,input_unnecessary
46,eventRemarks,eventRemarks,NA,NA,NA,NA,NA,input_unnecessary
47,eventTime,eventTime,timeofday,NA,NA,NA,NA,input_unnecessary
48,extent,extent,NA,NA,NA,NA,NA,input_unnecessary
50,fieldNotes,fieldNotes,NA,NA,fieldNotes,habito,Floresta Ombrófila Densa Montana.,input_optional
51,fieldNumber,fieldNumber,fieldnumber,fieldNumber,fieldnumber,fieldnumber,NA,input_unnecessary
52,format,format,NA,NA,NA,NA,NA,input_unnecessary
53,formation,formation,NA,NA,NA,NA,NA,input_unnecessary
54,gbifID,gbifid,NA,gbifid,NA,NA,1880442295,input_optional
55,genericName,genericName,NA,NA,NA,NA,Syagrus,input_unnecessary
57,georeferencedBy,georeferencedBy,NA,NA,NA,NA,alorozco,output
58,georeferencedDate,georeferencedDate,NA,NA,NA,NA,NA,output
59,georeferenceProtocol,georeferenceProtocol,NA,NA,NA,NA,NA,output
60,georeferenceRemarks,georeferenceRemarks,NA,NA,NA,NA,NA,output
61,georeferenceSources,georeferenceSources,NA,NA,NA,NA,T&CW,output
62,georeferenceVerificationStatus,georeferenceVerificationStatus,NA,NA,NA,NA,reviewed - high confidence,output
63,habitat,habitat,NA,NA,NA,habitat,Floresta atlântica.,input_optional
64,hasCoordinate,hasCoordinate,NA,NA,NA,NA,NA,output
65,identificationID,identificationID,NA,NA,NA,NA,NA,input_unnecessary
66,identificationQualifier,identificationQualifier,NA,NA,identificationQualifier,NA,cf.,input_unnecessary
67,identificationReferences,identificationReferences,NA,NA,NA,NA,NA,input_unnecessary
68,identificationRemarks,identificationRemarks,NA,NA,identificationRemarks,NA,NA,output
69,identificationVerificationStatus,identificationVerificationStatus,NA,NA,NA,NA,NA,output
71,identifier,identifier,NA,id,NA,NA,BRA:ESALQ:ESA:123667,input_optional
98,occurrenceID,occurrenceID,NA,occurrenceID,occurrenceID_GBIF,NA,BRA:ESALQ:ESA:123667,input_optional
72,individualCount,individualCount,individualcount,individualCount,NA,individualcount,NA,input_optional
73,informationWithheld,informationWithheld,NA,NA,NA,NA,NA,input_unnecessary
74,infraspecificEpithet,infraspecificepithet,subspecies,infraspecificepithet,infraspecificEpithet,infrasp,NA,output
76,institutionID,institutionID,NA,NA,NA,NA,urn:lsid:biocol.org:col:15668,input_unnecessary
77,instructionalMethod,instructionalMethod,NA,NA,NA,NA,NA,input_unnecessary
78,issue,issue,NA,issue,NA,NA,GEODETIC_DATUM_ASSUMED_WGS84,input_unnecessary
79,issued,issued,NA,NA,NA,NA,NA,input_unnecessary
80,julianday,NA,julianday,NA,NA,NA,NA,input_unnecessary
81,kingdom,kingdom,kingdom,kingdom,kingdom,NA,Plantae,output
82,language,language,NA,language,NA,NA,pt,input_unnecessary
83,license,license,NA,license,NA,NA,CC_BY_4_0,input_unnecessary
85,locationRemarks,locationRemarks,NA,NA,NA,NA,NA,input_unnecessary
86,maximumDepthInMeters,NA,maximumdepth,maximumDepthInMeters,NA,NA,NA,input_unnecessary
87,maximumDistanceAboveSurfaceInMeters,maximumDistanceAboveSurfaceInMeters,NA,NA,NA,NA,NA,input_unnecessary
88,maximumElevationInMeters,maximumElevationInMeters,maximumelevation,minimumElevationInMeters,maximumElevationInMeters,minimumelevation,893,input_optional
89,minimumDepthInMeters,NA,minimumdepth,minimumDepthInMeters,NA,NA,NA,input_unnecessary
90,minimumDistanceAboveSurfaceInMeters,minimumDistanceAboveSurfaceInMeters,NA,NA,NA,NA,NA,input_unnecessary
91,minimumElevationInMeters,minimumElevationInMeters,minimumelevation,maximumElevationInMeters,minimumElevationInMeters,maximumelevation,890,input_optional
92,modified,modified,datelastmodified,modified,modified,datelastmodified,2019-07-11T13:05:14Z,input_optional
94,monthIdentified,NA,monthidentified,NA,NA,mesdeterm,5,input_optional
96,nomenclaturalCode,nomenclaturalCode,NA,NA,NA,NA,ICNafp,output
97,nomenclaturalStatus,nomenclaturalStatus,NA,NA,NA,NA,No opinion,output
100,occurrenceStatus,occurrenceStatus,NA,NA,NA,NA,NA,input_optional
101,order,order,ordem,order,NA,NA,Arecales,output
102,otherCatalogNumbers,otherCatalogNumbers,previouscatalognumber,otherCatalogNumbers,otherCatalogNumbers,NA,264619,input_optional
103,ownerInstitutionCode,ownerInstitutionCode,NA,ownerInstitutionCode,NA,NA,Universidade de São Paulo,input_optional
104,phylum,phylum,phylum,phylum,phylum,NA,Tracheophyta,output
105,preparations,preparations,preparationtype,preparations,NA,NA,microscope slide: pollen,input_unnecessary
106,previousIdentifications,previousIdentifications,NA,NA,NA,NA,NA,output
107,provenance,provenance,NA,NA,NA,NA,NA,input_unnecessary
108,publishingCountry,publishingCountry,NA,NA,NA,NA,BR,input_optional
110,recordedByAux,NA,NA,NA,NA,aux_coladic,J.L. Hage & E.B. dos Santos,output
112,references,references,NA,NA,NA,NA,http://swbiodiversity.org/seinet/collections/individual/index.php?occid=3071329,input_unnecessary
113,relatedcatalogitem,NA,relatedcatalogitem,NA,NA,NA,NA,input_unnecessary
114,relationshiptype,NA,relationshiptype,NA,NA,NA,NA,input_unnecessary
115,rights,rights,NA,NA,right,NA,http://creativecommons.org/licenses/by-nc/3.0/,input_unnecessary
116,rightsHolder,rightsholder,NA,rightsholder,rightsHolder,NA,RB,input_unnecessary
119,sex,sex,sex,sex,NA,sex,NA,input_unnecessary
120,species,species,NA,species,NA,sp,Morella cerifera,input_optional
121,specificEpithet,specificEpithet,species,specificEpithet,specificEpithet,NA,hoehnei,input_optional
123,taxoncompleto,NA,NA,NA,NA,taxoncompleto,Anisacanthus brasiliensis Lindau,input_optional
124,taxonID,taxonID,NA,NA,NA,NA,NA,output
125,taxonomicStatus,taxonomicStatus,NA,NA,NA,NA,ACCEPTED,output
126,taxonRank,taxonrank,NA,taxonrank,taxonRank,NA,SPECIES,output
127,taxonRemarks,taxonRemarks,NA,NA,NA,NA,NA,input_optional
128,type,type,NA,type,type,NA,Collection,input_optional
130,verbatimLatitude,verbatimLatitude,latitude_mun,verbatimLatitude,verbatimLatitude,latitude_mun,-46.613056,input_optional
131,verbatimLocality,verbatimLocality,NA,NA,NA,NA,Brazil,input_optional
132,verbatimLongitude,verbatimLongitude,longitude_mun,verbatimLongitude,verbatimLongitude,longitude_mun,-23.638056,input_optional
134,yearIdentified,NA,NA,NA,NA,anodeterm,1977,input_optional
